,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
108,Old Rhosdhu 1994 Sample,47,3,13.75
109,Highland Single Malt 2005,57.1,3,7.95
110,Glenrothes 2011 Oloroso Sherry Finish Sample,47.5,3,5.75
111,Glenlivet 2006 Sample,63,3,8.75
112,Glenfarclas 185th Anniversary Sample,46,3,10.25
113,Lg11 - Elements of Islay Sample,54.1,3,10.25
114,Glenfiddich 15 Year Old Solera Sample,40,3,5.75
115,Glen Elgin 2010 Sample,61.3,3,6.75
116,Mortlach 15 Year Old Sample,46,3,10.25
117,Glenburgie 1989 Sample,46,3,18.75
118,Highland Park 30 Year Old,45.2,3,60.75
119,Bw8 Sample,51.2,3,15.45
120,Aberfeldy 15 Year Old Sample,43,3,6.25
121,Highland Park Thorfinn Sample,45.1,3,86.75
122,Macallan 1979 Sample,40,3,350
123,Lagavulin 12 Year Old Sample,56.5,3,15.25
124,Convalmore 1984 Sample,48.2,3,80.25
125,Balblair 15 Year Old Sample,46,3,7.25
126,Bunnahabhain Stiuireadair Sample,46.3,3,4.75
127,Balvenie 12 Year Old DoubleWood Sample,40,3,5.45
128,Talisker 30 Year Old Sample,45.8,3,67.25
129,Port Askaig 19 Year Old Sample,50.4,3,18.75
130,Glen Grant 10 Year Old Sample,40,3,4.45
131,Glenfarclas 15 Year Old 103° Proof Sample,58.6,3,8.25
132,Deanston Virgin Oak Sample,46.3,3,4.75
133,Clynelish 14 Year Old Sample,46,3,5.45
134,Bunnahabhain 12 Year Old Sample,46.3,3,5.25
135,Cardhu 2008 Sample,56,3,7.75
136,Spey Fumare Cask Strength Batch 3 Sample,57.5,3,6.45
137,Spey 12 Year Old Peated Sample,46,3,6.75
138,Ardmore 2011 Sample,57.6,3,6.95
139,Naked Distillate Old & Rare Whisky Tasting Set,54.1,6,180
140,Auchentoshan Three Wood Sample,43,3,5.45
141,Glen Moray 1998 Sample,52.9,3,11.25
142,Glen Moray 12 Year Old Sample,40,3,4.75
143,SPEY Chairman's Choice Sample,40,3,6.95
