,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
122,Masthouse Single Malt Whisky,45,50,37.25
123,The English Gently Smoked Sherry Cask 2012,46,70,63.95
124,The English Smokey Single Malt Whisky,43,70,44.25
125,The English Original Single Malt Whisky,43,70,44.25
126,English Whisky Co. Peated,55.2,70,69.95
127,Masthouse Grain Whisky,42,50,35.95
128,The English Original Single Malt Whisky,43,20,18.95
129,Filey Bay IPA Cask Finish,46,70,58.95
130,Cotswolds Sherry Cask Single Malt,57.4,70,63.95
131,Cotswolds 3 Year Old,50.4,50,53.75
132,Oxford Rye Whisky 002,47.4,70,94.95
133,The One Orange Wine Cask Finish,46.6,70,43.95
134,The One Moscatel Cask Finish,46.6,70,43.95
135,The One Sherry Cask Finish,46.6,70,43.95
136,The One Fine Blended Whisky,46.6,70,37.25
137,Masthouse Single Malt Whisky 2017,45,50,39.95
138,Filey Bay STR Wine Cask Finish,46,70,58.95
139,Filey Bay STR Wine Cask Finish,46,70,58.95
140,The English 2012,46,70,63.95
