,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
110,Cotswolds Sherry Cask Single Malt,57.4,70,63.95
111,Morris Signature Australian Single Malt,40,70,51.95
112,Seven Seals The Age of Leo,49.7,50,69.95
113,Seven Seals The Age of Taurus,49.7,50,69.95
114,Cotswolds 3 Year Old,50.4,50,53.75
115,Milk & Honey Apex,56.2,70,105
116,Oxford Rye Whisky 002,47.4,70,94.95
117,Mackmyra Brukswhisky DLX,46.6,70,105
118,Lark 2016,60.2,70,250
119,Hellyers Road Twin Oak,48.9,70,81.95
120,Amahagan Yamazakura Wood Limited Edition,47,70,79.95
121,Amahagan Edition No 1,47,70,74.95
122,Langatun Jacob's Dram 2015,49.12,50,83.95
123,The Gospel Straight Rye,45,70,49.95
124,The One Orange Wine Cask Finish,46.6,70,43.95
125,The One Moscatel Cask Finish,46.6,70,43.95
126,The One Sherry Cask Finish,46.6,70,43.95
127,The One Fine Blended Whisky,46.6,70,37.25
128,Eddu 2011,48,70,110
129,Masthouse Single Malt Whisky 2017,45,50,39.95
130,Stauning Rye,48,70,56.95
131,Stauning KAOS Whisky,46,70,60.95
132,Thy Spelt Rye Whisky,50,50,77.95
133,Cardrona Growing Wings 5 Year Old,61.2,35,125
134,Stork Club Straight Rye Whiskey,45,70,34.95
135,Filey Bay STR Wine Cask Finish,46,70,58.95
136,Zuidam Millstone 1996,46,70,250
137,Langatun Winter Wedding,46,50,67.95
138,Paul John Oloroso Select Cask,48,70,69.95
139,Langatun Old Deer,58.5,50,71.95
140,Amrut Kadhambam,50,70,135
141,Cardrona Just Hatched Single Malt,64.4,35,74.95
142,Spirit of Hven Mercurious Corn Whisky,45.6,50,48.75
143,Kavalan 2011 Rum Cask,57.1,70,175
