,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
134,Johnnie Walker Black Label,43.4,94.6,425
135,Ballantine's 17 Year Old,43,70,900
136,Ballantine's 17 Year Old,43,70,"1,000"
137,Chivas Regal 12 Year Old,43,75,150
138,Old Court De Luxe,40,70,450
139,Whyte & Mackay 15 Year Old,40,70,110
140,Johnnie Walker Black Label,40,75,225
141,Dunhill Old Master,43,70,150
142,Dewar's White Label,40,100,150
143,Gilmour Thomson's Royal Whisky,40,75,500
