,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
128,Oban 2008,56.2,70,105
129,Arran Quarter Cask,56.2,70,50.75
130,Bowmore 18 Year Old,43,70,94.95
131,Ardbeg An Oa,46.6,70,46.45
132,Ardbeg Corryvreckan,57.1,70,75.45
133,Bowmore 12 Year Old,40,70,35.95
134,Old Pulteney 12 Year Old,40,70,32.45
135,Williamson (Laphroaig) 2014,61.8,70,79.95
136,Oban 2006 Distillers Edition,43,70,74.95
137,Aberlour 10 Year Old,40,70,39.95
138,Balvenie The Edge of Burnhead Wood,48.7,70,265
139,Glengoyne 12 Year Old,43,70,41.95
140,Auchentoshan Three Wood,43,70,49.95
141,Glenlivet 12 Year Old,40,70,37.95
142,Glenfarclas 21 Year Old,43,70,120
143,Benriach 2009,60.8,70,89.95
