,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
116,Southern Comfort,50,70,28.25
117,Coole Swan,16,70,24.95
118,Wild Turkey American Honey Liqueur,35.5,70,23.95
119,Edradour Cream Liqueur,17,70,17.95
120,Arran Gold Malt Cream Liqueur,17,70,18.95
121,Irish Velvet Liqueur,20,50,17.95
122,Merlyn Welsh Cream Liqueur,17,70,14.95
123,The Dubliner Irish Whiskey Liqueur,30,70,20.45
124,Jack Daniel's Tennessee Apple,35,70,21.95
125,Sacred English Whisky Liqueur,40,70,37.45
126,Tunbridge Wells Liqueur Co. Maple Whiskey Liqueur,29.9,50,31.95
127,Revel Stoke Spiced Whisky Liqueur,45,75,33.95
128,Fireball Cinnamon Whisky Liqueur,33,70,19.95
129,William Shakespeare Whisky Liqueur,20,50,24.95
130,Sheep Dog Peanut Butter Whiskey Liqueur,35,70,22.75
131,Smokehouse Rock and Rye,41.5,50,33.25
